category,discounted_price,actual_price,discount_percentage,rating,rating_count,venta
1,13,90,25,4.2,122478,1
1,273,368,49,4.5,33176,1
4,52,99,7,3.9,14667,1
2,273,313,34,4.2,24432,1
1,148,313,60,4.1,10174,1
1,430,426,26,4.4,61314,1
1,273,337,40,4.6,33434,1
1,393,14,50,4.4,25177,1
1,394,363,8,3.9,8280,1
4,125,155,31,4.3,2026,1
1,523,63,34,4.2,23174,1
4,506,28,19,4.1,4157,1
4,176,209,20,4.2,2686,1
1,386,67,64,4.2,64273,1
1,327,427,57,4.1,14896,1
4,163,312,56,4.1,270563,1
4,548,39,14,4.2,7274,1
1,376,44,61,4.2,4959,1
4,176,217,24,4.3,9650,1
4,37,166,38,4.1,19998,1
4,297,290,8,4.3,356,1
2,163,375,69,4.2,12153,1
2,163,375,69,4.2,12153,1
2,342,445,58,4.2,12153,1
4,79,169,19,4.4,7946,1
4,438,56,48,4.0,2961,1
4,180,209,17,4.1,4118,1
4,179,246,30,4.0,3973,1
1,500,41,31,4.4,34852,1
2,471,445,23,4.1,273189,1
1,28,83,13,4.6,12375,1
4,487,60,42,3.9,63350,1
4,163,271,45,4.1,1379,1
4,466,390,77,4.5,2280,1
4,417,9,45,4.2,13029,1
4,528,76,34,4.1,1017,1
1,50,126,17,4.3,7241,1
4,418,2,39,4.1,17325,1
1,425,57,54,4.3,189104,1
2,231,313,49,3.7,2960,1
1,492,70,45,4.3,2585,1
4,393,445,45,4.1,4859,1
1,353,341,14,4.4,25006,1
2,371,397,36,4.2,4296,1
2,480,76,45,3.8,3022,1
4,303,313,31,3.9,4584,1
4,9,101,32,4.2,4244,1
2,217,354,61,4.4,18872,1
2,423,445,37,4.3,38221,1
4,127,207,45,4.1,4074,1
4,403,396,14,4.5,7241,1
1,148,320,60,4.2,92595,1
2,429,316,86,4.2,910,1
4,206,338,41,3.8,8958,1
1,327,375,45,4.3,20850,1
2,350,265,0,3.9,1951,1
4,171,135,0,4.5,7949,1
2,334,445,59,4.1,363711,1
1,459,445,27,4.3,13944,1
1,163,264,45,4.2,92595,1
1,163,264,45,4.2,92595,1
4,509,447,1,4.4,17994,1
4,507,24,17,4.2,3065,1
1,264,346,46,4.4,25886,1
2,327,445,61,3.9,46399,1
7,323,294,16,4.3,2493,1
4,202,267,24,4.4,11148,1
2,57,170,31,4.4,15137,1
7,373,286,0,4.5,8610,1
1,72,268,53,4.2,25488,1
4,280,360,42,3.9,43070,1
4,276,329,34,4.2,6919,1
2,350,445,56,4.0,1236,1
1,55,161,29,4.3,68409,1
2,53,67,0,4.4,25996,1
4,278,316,29,4.0,20869,1
4,544,53,23,4.2,15252,1
4,397,384,16,4.5,1408,1
2,534,150,56,4.2,3300,1
2,255,368,54,4.4,35877,1
4,76,120,77,3.9,1888,1
4,9,63,19,4.1,4401,1
1,163,349,63,4.5,13568,1
6,499,126,56,4.0,68664,1
4,380,408,37,4.3,1868,1
4,203,311,37,3.9,588,1
1,315,265,9,3.6,33735,1
1,273,445,67,4.3,20850,1
1,273,445,67,4.3,20850,1
1,273,445,67,4.3,20850,1
1,273,408,59,4.2,94363,1
1,273,408,59,4.2,94364,1
2,471,26,36,4.0,14404,1
2,471,26,36,4.0,14403,1
4,293,325,21,3.9,12837,1
1,283,301,23,4.4,13544,1
4,194,296,37,4.4,646,1
4,291,358,36,4.3,11924,1
4,292,356,34,4.2,561,1
4,431,413,16,4.6,2751,1
4,190,263,30,3.8,2732,1
4,487,17,26,4.2,35693,1
2,514,169,62,4.2,91188,1
4,11,74,24,4.3,4022,1
4,444,365,55,3.8,2593,1
1,273,408,59,4.2,2117,1
2,62,204,41,4.2,2727,1
4,549,72,29,3.6,4881,1
1,82,187,23,4.3,17394,1
1,91,204,27,4.3,14237,1
1,123,201,49,3.8,3044,1
2,148,408,75,3.7,2201,1
4,44,217,49,4.1,1776,1
2,94,204,26,4.3,63899,1
3,523,113,48,4.0,3663,1
1,29,74,10,4.3,27223,1
2,370,349,20,4.1,119466,1
1,273,408,59,4.2,94363,1
4,68,186,32,4.4,6027,1
1,455,78,54,4.3,5451,1
1,393,31,53,4.3,5451,1
4,278,244,88,4.2,1899,1
4,402,401,17,4.4,2737,1
1,481,127,61,4.1,178817,1
2,500,63,41,4.1,53648,1
4,288,342,34,3.9,25340,1
1,24,190,50,4.4,4598,1
2,336,78,74,4.0,32625,1
2,336,78,74,4.0,32625,1
2,107,313,73,4.3,15032,1
2,273,427,63,4.0,1588,1
1,496,127,57,4.2,34540,1
4,352,351,21,3.8,2112,1
4,477,429,4,4.0,3160,1
1,312,11,67,4.2,10576,1
4,243,271,31,4.1,693,1
4,538,159,56,4.1,2311,1
4,247,320,43,4.3,2664,1
4,505,45,26,4.3,5891,1
4,282,369,43,3.7,11217,1
4,470,375,0,4.2,3160,1
4,200,254,21,4.0,727,1
1,78,215,35,4.5,92925,1
1,317,313,27,3.7,8566,1
4,19,110,30,4.2,3858,1
4,19,120,32,3.9,2832,1
4,342,445,58,4.3,3096,1
2,430,445,34,4.0,18654,1
2,327,445,61,4.1,363713,1
